matrix,scaling_type,read_mode,mpi_ranks,omp_threads,status,spmv_total_p90_ms,spmv_comm_p90_ms,spmv_comp_p90_ms,gflops,dist_sum_mb,iter_sum_mb,nnz_min,nnz_avg,nnz_max
matrices/strong/af_shell9.mtx,strong,mpiio,1,1,OK,20.554,0.001,20.553,1.711454,268.385,0.000,17588875,17588875.00,17588875
matrices/strong/af_shell9.mtx,strong,mpiio,2,1,OK,17.783,1.078,16.340,1.978122,268.385,7.703,8794265,8794436.50,8794608
matrices/strong/af_shell9.mtx,strong,mpiio,4,1,OK,16.472,2.037,12.897,2.135595,268.385,23.110,4397070,4397217.25,4397536
matrices/strong/af_shell9.mtx,strong,mpiio,8,1,OK,24.566,4.753,12.282,1.431958,268.385,53.924,2198394,2198607.62,2198818
matrices/strong/af_shell9.mtx,strong,mpiio,16,1,OK,56.021,11.404,11.301,0.627941,268.385,115.174,1099058,1099303.00,1099558
matrices/strong/af_shell9.mtx,strong,mpiio,32,1,OK,49.363,21.298,3.856,0.712626,268.384,178.950,549402,549650.59,549810
matrices/strong/af_shell9.mtx,strong,mpiio,64,1,OK,32.983,16.076,6.623,1.066541,268.383,220.937,274584,274824.38,274979
matrices/strong/af_shell9.mtx,strong,mpiio,128,1,OK,489.381,487.830,0.864,0.071881,268.381,240.943,137263,137411.26,137598
matrices/strong/af_shell9.mtx,strong,parallel,1,1,OK,20.375,0.001,20.374,1.726514,268.385,0.000,17588875,17588875.00,17588875
matrices/strong/af_shell9.mtx,strong,parallel,2,1,OK,17.569,0.957,16.249,2.002309,268.385,7.703,8794265,8794437.50,8794610
matrices/strong/af_shell9.mtx,strong,parallel,4,1,OK,16.488,1.940,12.922,2.133496,268.385,23.110,4397070,4397218.75,4397540
matrices/strong/af_shell9.mtx,strong,parallel,8,1,OK,24.453,4.590,11.893,1.438591,268.385,53.924,2198395,2198609.38,2198820
matrices/strong/af_shell9.mtx,strong,parallel,16,1,OK,55.265,12.104,11.621,0.636529,268.385,115.174,1099060,1099304.69,1099560
matrices/strong/af_shell9.mtx,strong,parallel,32,1,OK,47.753,20.022,3.831,0.736663,268.385,178.950,549405,549652.34,549810
matrices/strong/af_shell9.mtx,strong,parallel,64,1,OK,33.020,16.071,6.948,1.065331,268.385,220.938,274585,274826.17,274980
matrices/strong/af_shell9.mtx,strong,parallel,128,1,OK,485.729,484.312,0.808,0.072423,268.385,240.946,137265,137413.09,137600
matrices/strong/af_shell9.mtx,strong,root,1,1,OK,20.496,0.001,20.495,1.716292,268.385,0.000,17588875,17588875.00,17588875
matrices/strong/af_shell9.mtx,strong,root,2,1,OK,17.739,0.937,16.432,1.983068,268.385,7.703,8794265,8794437.50,8794610
matrices/strong/af_shell9.mtx,strong,root,4,1,OK,16.362,1.916,12.984,2.149973,268.385,23.110,4397070,4397218.75,4397540
matrices/strong/af_shell9.mtx,strong,root,8,1,OK,24.904,4.353,14.242,1.412533,268.385,53.924,2198395,2198609.38,2198820
matrices/strong/af_shell9.mtx,strong,root,16,1,OK,54.888,11.351,12.704,0.640906,268.385,115.174,1099060,1099304.69,1099560
matrices/strong/af_shell9.mtx,strong,root,32,1,OK,51.549,22.416,3.874,0.682418,268.385,178.950,549405,549652.34,549810
matrices/strong/af_shell9.mtx,strong,root,64,1,OK,33.232,16.481,6.694,1.058559,268.385,220.938,274585,274826.17,274980
matrices/strong/af_shell9.mtx,strong,root,128,1,OK,496.814,495.268,0.870,0.070807,268.385,240.946,137265,137413.09,137600
matrices/strong/thermal2.mtx,strong,mpiio,1,1,OK,18.616,0.001,18.615,0.921811,130.925,0.000,8580313,8580313.00,8580313
matrices/strong/thermal2.mtx,strong,mpiio,2,1,OK,19.685,2.314,16.361,0.871771,130.925,18.590,4290058,4290155.50,4290253
matrices/strong/thermal2.mtx,strong,mpiio,4,1,OK,23.679,7.383,11.208,0.724704,130.925,49.171,2144682,2145076.75,2145379
matrices/strong/thermal2.mtx,strong,mpiio,8,1,OK,29.442,7.393,8.922,0.582855,130.925,78.332,1072140,1072537.50,1072878
matrices/strong/thermal2.mtx,strong,mpiio,16,1,OK,39.847,10.054,9.277,0.430665,130.925,95.634,535919,536267.88,536848
matrices/strong/thermal2.mtx,strong,mpiio,32,1,OK,25.989,7.054,3.661,0.660311,130.924,104.015,267737,268133.31,268488
matrices/strong/thermal2.mtx,strong,mpiio,64,1,OK,16.099,7.900,4.355,1.065900,130.924,108.073,133796,134065.73,134390
matrices/strong/thermal2.mtx,strong,mpiio,128,1,OK,489.402,487.784,0.904,0.035064,130.922,110.119,66821,67032.00,67248
matrices/strong/thermal2.mtx,strong,parallel,1,1,OK,18.411,0.001,18.410,0.932089,130.925,0.000,8580313,8580313.00,8580313
