matrix,scaling_type,read_mode,mpi_ranks,omp_threads,status,spmv_total_p90_ms,spmv_comm_p90_ms,spmv_comp_p90_ms,gflops,dist_sum_mb,iter_sum_mb,nnz_min,nnz_avg,nnz_max
matrices/strong/af_shell9.mtx,strong,mpiio,1,2,OK,19.091,0.005,19.085,1.842646,268.385,0.000,17588875,17588875.00,17588875
matrices/strong/af_shell9.mtx,strong,mpiio,1,4,OK,19.451,0.000,19.450,1.808563,268.385,0.000,17588875,17588875.00,17588875
matrices/strong/af_shell9.mtx,strong,mpiio,1,8,OK,18.904,0.001,18.903,1.860819,268.385,0.000,17588875,17588875.00,17588875
matrices/strong/af_shell9.mtx,strong,mpiio,2,2,OK,17.715,1.086,16.258,1.985790,268.385,7.703,8794265,8794436.50,8794608
matrices/strong/af_shell9.mtx,strong,mpiio,2,4,OK,18.073,1.068,16.638,1.946391,268.385,7.703,8794265,8794436.50,8794608
matrices/strong/af_shell9.mtx,strong,mpiio,2,8,OK,18.824,1.083,17.374,1.868737,268.385,7.703,8794265,8794436.50,8794608
matrices/strong/af_shell9.mtx,strong,mpiio,4,2,OK,16.440,1.802,13.076,2.139745,268.385,23.110,4397070,4397217.25,4397536
matrices/strong/af_shell9.mtx,strong,mpiio,4,4,OK,16.688,1.931,13.201,2.107983,268.385,23.110,4397070,4397217.25,4397536
matrices/strong/af_shell9.mtx,strong,mpiio,4,8,OK,17.292,1.974,13.747,2.034305,268.385,23.110,4397070,4397217.25,4397536
matrices/strong/af_shell9.mtx,strong,mpiio,8,2,OK,24.479,4.445,12.162,1.437062,268.385,53.924,2198394,2198607.62,2198818
matrices/strong/af_shell9.mtx,strong,mpiio,8,4,OK,24.467,4.054,12.928,1.437776,268.385,53.924,2198394,2198607.62,2198818
matrices/strong/af_shell9.mtx,strong,mpiio,8,8,OK,25.129,4.389,13.245,1.399908,268.385,53.924,2198394,2198607.62,2198818
matrices/strong/af_shell9.mtx,strong,mpiio,16,2,OK,54.717,11.832,11.632,0.642907,268.385,115.174,1099058,1099303.00,1099558
matrices/strong/af_shell9.mtx,strong,mpiio,16,4,OK,54.834,11.192,12.275,0.641535,268.385,115.174,1099058,1099303.00,1099558
matrices/strong/af_shell9.mtx,strong,mpiio,16,8,OK,33.452,17.452,5.970,1.051594,268.385,115.174,1099058,1099303.00,1099558
