matrix;approach;variant;threads;schedule;chunk;block_rows;p90_ms;gflops;bandwidth
1138_bus.mtx;parallel(omp+csr);loop;8;dynamic;0;0;0.178263;0.029126;0.291256
1138_bus.mtx;parallel(omp+csr);loop;8;dynamic;1;0;0.176979;0.029337;0.293368
1138_bus.mtx;parallel(omp+csr);loop;8;dynamic;4;0;0.055071;0.094278;0.942784
1138_bus.mtx;parallel(omp+csr);loop;8;dynamic;8;0;0.031253;0.166126;1.661263
1138_bus.mtx;parallel(omp+csr);loop;8;dynamic;16;0;0.030559;0.169903;1.699033
1138_bus.mtx;parallel(omp+csr);loop;8;dynamic;32;0;0.017093;0.303741;3.037413
1138_bus.mtx;parallel(omp+csr);loop;8;guided;0;0;0.036720;0.141394;1.413936
1138_bus.mtx;parallel(omp+csr);loop;8;guided;1;0;0.027271;0.190385;1.903855
1138_bus.mtx;parallel(omp+csr);loop;8;guided;4;0;0.023520;0.220752;2.207519
1138_bus.mtx;parallel(omp+csr);loop;8;guided;8;0;0.037238;0.139427;1.394275
1138_bus.mtx;parallel(omp+csr);loop;8;guided;16;0;0.020802;0.249591;2.495911
1138_bus.mtx;parallel(omp+csr);loop;8;guided;32;0;0.041194;0.126037;1.260370
1138_bus.mtx;parallel(omp+csr);loop;16;static;0;0;0.017980;0.288763;2.887635
1138_bus.mtx;parallel(omp+csr);loop;16;static;1;0;0.050869;0.102066;1.020664
1138_bus.mtx;parallel(omp+csr);loop;16;static;4;0;0.027081;0.191721;1.917211
1138_bus.mtx;parallel(omp+csr);loop;16;static;8;0;0.026364;0.196936;1.969361
1138_bus.mtx;parallel(omp+csr);loop;16;static;16;0;0.031471;0.164976;1.649760
1138_bus.mtx;parallel(omp+csr);loop;16;static;32;0;0.019195;0.270493;2.704933
1138_bus.mtx;parallel(omp+csr);loop;16;dynamic;0;0;0.154814;0.033537;0.335371
1138_bus.mtx;parallel(omp+csr);loop;16;dynamic;1;0;0.144694;0.035883;0.358826
1138_bus.mtx;parallel(omp+csr);loop;16;dynamic;4;0;0.057193;0.090781;0.907811
1138_bus.mtx;parallel(omp+csr);loop;16;dynamic;8;0;0.033727;0.153942;1.539423
1138_bus.mtx;parallel(omp+csr);loop;16;dynamic;16;0;0.029175;0.177963;1.779630
1138_bus.mtx;parallel(omp+csr);loop;16;dynamic;32;0;0.019705;0.263487;2.634875
1138_bus.mtx;parallel(omp+csr);loop;16;guided;0;0;0.067282;0.077167;0.771672
1138_bus.mtx;parallel(omp+csr);loop;16;guided;1;0;0.052970;0.098018;0.980179
1138_bus.mtx;parallel(omp+csr);loop;16;guided;4;0;0.046425;0.111837;1.118373
1138_bus.mtx;parallel(omp+csr);loop;16;guided;8;0;0.042463;0.122272;1.222720
1138_bus.mtx;parallel(omp+csr);loop;16;guided;16;0;0.041982;0.123672;1.236716
1138_bus.mtx;parallel(omp+csr);loop;16;guided;32;0;0.047712;0.108820;1.088204
1138_bus.mtx;parallel(omp+csr);loop;32;static;0;0;9.769592;0.000531;0.005314
1138_bus.mtx;parallel(omp+csr);loop;32;static;1;0;10.175362;0.000510;0.005103
1138_bus.mtx;parallel(omp+csr);loop;32;static;4;0;10.378879;0.000500;0.005002
1138_bus.mtx;parallel(omp+csr);loop;32;static;8;0;0.085955;0.060403;0.604034
1138_bus.mtx;parallel(omp+csr);loop;32;static;16;0;9.787500;0.000530;0.005305
1138_bus.mtx;parallel(omp+csr);loop;32;static;32;0;10.215074;0.000508;0.005083
1138_bus.mtx;parallel(omp+csr);loop;32;dynamic;0;0;10.300277;0.000504;0.005041
1138_bus.mtx;parallel(omp+csr);loop;32;dynamic;1;0;9.688552;0.000536;0.005359
1138_bus.mtx;parallel(omp+csr);loop;32;dynamic;4;0;10.615898;0.000489;0.004891
1138_bus.mtx;parallel(omp+csr);loop;32;dynamic;8;0;10.431401;0.000498;0.004977
1138_bus.mtx;parallel(omp+csr);loop;32;dynamic;16;0;15.112629;0.000344;0.003436
1138_bus.mtx;parallel(omp+csr);loop;32;dynamic;32;0;9.462623;0.000549;0.005487
1138_bus.mtx;parallel(omp+csr);loop;32;guided;0;0;10.209823;0.000509;0.005085
1138_bus.mtx;parallel(omp+csr);loop;32;guided;1;0;0.102548;0.050630;0.506300
1138_bus.mtx;parallel(omp+csr);loop;32;guided;4;0;9.786280;0.000531;0.005305
1138_bus.mtx;parallel(omp+csr);loop;32;guided;8;0;10.083916;0.000515;0.005149
1138_bus.mtx;parallel(omp+csr);loop;32;guided;16;0;9.783441;0.000531;0.005307
1138_bus.mtx;parallel(omp+csr);loop;32;guided;32;0;9.844361;0.000527;0.005274
bcsstk13.mtx;parallel(omp+csr);loop;1;static;0;0;0.058999;1.455713;14.557126
bcsstk13.mtx;parallel(omp+csr);loop;1;static;1;0;0.057943;1.482246;14.822456
bcsstk13.mtx;parallel(omp+csr);loop;1;static;4;0;0.065766;1.305928;13.059277
bcsstk13.mtx;parallel(omp+csr);loop;1;static;8;0;0.054728;1.569318;15.693178
bcsstk13.mtx;parallel(omp+csr);loop;1;static;16;0;0.068344;1.256669;12.566689
bcsstk13.mtx;parallel(omp+csr);loop;1;static;32;0;0.058820;1.460138;14.601379
bcsstk13.mtx;parallel(omp+csr);loop;1;dynamic;0;0;0.102760;0.835790;8.357899
bcsstk13.mtx;parallel(omp+csr);loop;1;dynamic;1;0;0.098230;0.874333;8.743329
bcsstk13.mtx;parallel(omp+csr);loop;1;dynamic;4;0;0.059560;1.442009;14.420095
bcsstk13.mtx;parallel(omp+csr);loop;1;dynamic;8;0;0.063293;1.356966;13.569657
bcsstk13.mtx;parallel(omp+csr);loop;1;dynamic;16;0;0.062870;1.366092;13.660918
bcsstk13.mtx;parallel(omp+csr);loop;1;dynamic;32;0;0.054346;1.580344;15.803439
bcsstk13.mtx;parallel(omp+csr);loop;1;guided;0;0;0.057533;1.492803;14.928029
bcsstk13.mtx;parallel(omp+csr);loop;1;guided;1;0;0.057267;1.499746;14.997461
bcsstk13.mtx;parallel(omp+csr);loop;1;guided;4;0;0.049541;1.733643;17.336427
bcsstk13.mtx;parallel(omp+csr);loop;1;guided;8;0;0.053737;1.598256;15.982563
bcsstk13.mtx;parallel(omp+csr);loop;1;guided;16;0;0.057511;1.493383;14.933831
bcsstk13.mtx;parallel(omp+csr);loop;1;guided;32;0;0.057518;1.493190;14.931896
bcsstk13.mtx;parallel(omp+csr);loop;2;static;0;0;0.032514;2.641481;26.414812
bcsstk13.mtx;parallel(omp+csr);loop;2;static;1;0;0.057386;1.496631;14.966307
bcsstk13.mtx;parallel(omp+csr);loop;2;static;4;0;0.037588;2.284920;22.849205
bcsstk13.mtx;parallel(omp+csr);loop;2;static;8;0;0.043834;1.959363;19.593632
bcsstk13.mtx;parallel(omp+csr);loop;2;static;16;0;0.031268;2.746750;27.467502
bcsstk13.mtx;parallel(omp+csr);loop;2;static;32;0;0.029307;2.930577;29.305768
bcsstk13.mtx;parallel(omp+csr);loop;2;dynamic;0;0;0.135744;0.632706;6.327057
bcsstk13.mtx;parallel(omp+csr);loop;2;dynamic;1;0;0.140371;0.611851;6.118509
bcsstk13.mtx;parallel(omp+csr);loop;2;dynamic;4;0;0.054242;1.583383;15.833830
bcsstk13.mtx;parallel(omp+csr);loop;2;dynamic;8;0;0.048125;1.784638;17.846381
bcsstk13.mtx;parallel(omp+csr);loop;2;dynamic;16;0;0.039311;2.184776;21.847759
bcsstk13.mtx;parallel(omp+csr);loop;2;dynamic;32;0;0.033649;2.552433;25.524326
bcsstk13.mtx;parallel(omp+csr);loop;2;guided;0;0;0.033230;2.584624;25.846242
bcsstk13.mtx;parallel(omp+csr);loop;2;guided;1;0;0.030642;2.802851;28.028506
bcsstk13.mtx;parallel(omp+csr);loop;2;guided;4;0;0.032678;2.628232;26.282316
bcsstk13.mtx;parallel(omp+csr);loop;2;guided;8;0;0.036843;2.331127;23.311272
bcsstk13.mtx;parallel(omp+csr);loop;2;guided;16;0;0.035344;2.430023;24.300235
bcsstk13.mtx;parallel(omp+csr);loop;2;guided;32;0;0.042360;2.027513;20.275128
bcsstk13.mtx;parallel(omp+csr);loop;4;static;0;0;0.018766;4.576645;45.766447
bcsstk13.mtx;parallel(omp+csr);loop;4;static;1;0;0.034600;2.482219;24.822187
bcsstk13.mtx;parallel(omp+csr);loop;4;static;4;0;0.020759;4.137254;41.372539
bcsstk13.mtx;parallel(omp+csr);loop;4;static;8;0;0.017600;4.879849;48.798492
bcsstk13.mtx;parallel(omp+csr);loop;4;static;16;0;0.016535;5.194288;51.942881
bcsstk13.mtx;parallel(omp+csr);loop;4;static;32;0;0.028161;3.049785;30.497847
bcsstk13.mtx;parallel(omp+csr);loop;4;dynamic;0;0;0.115950;0.740718;7.407180
bcsstk13.mtx;parallel(omp+csr);loop;4;dynamic;1;0;0.269722;0.318424;3.184239
bcsstk13.mtx;parallel(omp+csr);loop;4;dynamic;4;0;0.035530;2.417284;24.172841
bcsstk13.mtx;parallel(omp+csr);loop;4;dynamic;8;0;0.035051;2.450297;24.502973
bcsstk13.mtx;parallel(omp+csr);loop;4;dynamic;16;0;0.019409;4.425115;44.251147
bcsstk13.mtx;parallel(omp+csr);loop;4;dynamic;32;0;0.017600;4.879849;48.798492
bcsstk13.mtx;parallel(omp+csr);loop;4;guided;0;0;0.029888;2.873594;28.735944
bcsstk13.mtx;parallel(omp+csr);loop;4;guided;1;0;0.029160;2.945365;29.453654
bcsstk13.mtx;parallel(omp+csr);loop;4;guided;4;0;0.027345;3.140773;31.407735
bcsstk13.mtx;parallel(omp+csr);loop;4;guided;8;0;0.031129;2.759077;27.590770
bcsstk13.mtx;parallel(omp+csr);loop;4;guided;16;0;0.017470;4.916270;49.162699
bcsstk13.mtx;parallel(omp+csr);loop;4;guided;32;0;0.019047;4.509065;45.090647
bcsstk13.mtx;parallel(omp+csr);loop;8;static;0;0;0.017643;4.868000;48.679999
bcsstk13.mtx;parallel(omp+csr);loop;8;static;1;0;0.064582;1.329883;13.298828
bcsstk13.mtx;parallel(omp+csr);loop;8;static;4;0;0.049075;1.750093;17.500928
bcsstk13.mtx;parallel(omp+csr);loop;8;static;8;0;0.037173;2.310452;23.104522
bcsstk13.mtx;parallel(omp+csr);loop;8;static;16;0;0.053797;1.596486;15.964855
bcsstk13.mtx;parallel(omp+csr);loop;8;static;32;0;0.039984;2.148034;21.480339
bcsstk13.mtx;parallel(omp+csr);loop;8;dynamic;0;0;0.304628;0.281937;2.819372
bcsstk13.mtx;parallel(omp+csr);loop;8;dynamic;1;0;0.289781;0.296382;2.963824
bcsstk13.mtx;parallel(omp+csr);loop;8;dynamic;4;0;0.085739;1.001710;10.017096
bcsstk13.mtx;parallel(omp+csr);loop;8;dynamic;8;0;0.055322;1.552463;15.524627
bcsstk13.mtx;parallel(omp+csr);loop;8;dynamic;16;0;0.048947;1.754688;17.546881
bcsstk13.mtx;parallel(omp+csr);loop;8;dynamic;32;0;0.030810;2.787600;27.876002
bcsstk13.mtx;parallel(omp+csr);loop;8;guided;0;0;0.044050;1.949752;19.497524
bcsstk13.mtx;parallel(omp+csr);loop;8;guided;1;0;0.038160;2.250681;22.506807
bcsstk13.mtx;parallel(omp+csr);loop;8;guided;4;0;0.038989;2.202833;22.028328
bcsstk13.mtx;parallel(omp+csr);loop;8;guided;8;0;0.036895;2.327832;23.278319
bcsstk13.mtx;parallel(omp+csr);loop;8;guided;16;0;0.035614;2.411595;24.115949
bcsstk13.mtx;parallel(omp+csr);loop;8;guided;32;0;0.026906;3.192087;31.920869
bcsstk13.mtx;parallel(omp+csr);loop;16;static;0;0;0.039246;2.188405;21.884051
bcsstk13.mtx;parallel(omp+csr);loop;16;static;1;0;0.071740;1.197188;11.971880
bcsstk13.mtx;parallel(omp+csr);loop;16;static;4;0;0.067499;1.272413;12.724128
bcsstk13.mtx;parallel(omp+csr);loop;16;static;8;0;0.063388;1.354932;13.549321
